year,PfPR,Cases,Severe cases,Pop,agebin,pfpr2to10,cm_cov_U5,itn_coverage,Run_Number
2023,0.5528121203459,5.286452889442,0.0217370595783,230.0219178082,5.0,0.6324645028563,0.6,0,0
2024,0.6047601611131,6.103380843997,0.0133650675416,224.4657534247,5.0,0.6752755488517,0.6,0,0
2022,0.6756376142369,3.341128305765,0.04058050573803,369.6356164384,10.0,0.6701096179425,0.6,0,0
2023,0.6824456119635,4.6727374373,0.01091123744845,366.5945205479,10.0,0.6324645028563,0.6,0,0
2024,0.7198684748798,4.966887026094,0.01126917079091,354.9506849315,10.0,0.6752755488517,0.6,0,0
2022,0.6680080482897,3.114670270588,0.03606460313313,305.0082191781,15.0,0.6701096179425,0.6,0,0
2023,0.6984849011968,4.390437932219,0.0285711796023,315.002739726,15.0,0.6324645028563,0.6,0,0
2024,0.7240490350339,4.747002100106,0.003244704101235,308.1945205479,15.0,0.6752755488517,0.6,0,0
2022,0.6674382317382,3.062631147914,0.01131513970904,265.1315068493,20.0,0.6701096179425,0.6,0,0
2023,0.7010247204041,4.375132638961,0.01220967248082,245.7068493151,20.0,0.6324645028563,0.6,0,0
