year,PfPR,Cases,Severe cases,Pop,agebin,pfpr2to10,cm_cov_U5,rtss_coverage,itn_coverage,smc_coverage,Run_Number
2022,0.5844017955541,2.869728114456,0.2992366068065,203.8520547945,2.0,0.650383920157,0.6,0,0,1,0
2023,0.1745072316966,2.424403466284,0.04242706065997,164.9890410959,2.0,0.4508418045687,0.6,0,0,1,0
2024,0.410549425805,5.951831378043,0.08218869566917,146.0054794521,2.0,0.6296980486747,0.6,0,0,1,0
2022,0.6431243897676,3.141808219254,0.05416910722852,350.7534246575,5.0,0.650383920157,0.6,0,0,1,0
2023,0.2539980961447,3.413731691195,0.005790893454105,345.3698630137,5.0,0.4508418045687,0.6,0,0,1,0
2024,0.5325232250182,6.272927772254,0.01496404525824,334.1342465753,5.0,0.6296980486747,0.6,0,0,1,0
2022,0.6551352180359,3.17399412801,0.0279893662082,535.9178082192,10.0,0.650383920157,0.6,0,0,1,0
2023,0.5790485244275,3.865886264248,0.009428990888409,530.2794520548,10.0,0.4508418045687,0.6,0,0,1,0
2024,0.6915949840444,4.958322238061,0.01525051053613,524.5726027397,10.0,0.6296980486747,0.6,0,0,1,0
2022,0.6499477724336,3.034573368495,0.01551644527353,451.1342465753,15.0,0.650383920157,0.6,0,0,1,0
2023,0.6229684634579,3.976670793258,0.01536241476424,455.6575342466,15.0,0.4508418045687,0.6,0,0,1,0
2024,0.7159938843509,4.744562053587,0.008893274702132,449.7780821918,15.0,0.6296980486747,0.6,0,0,1,0
2022,0.6498751332847,3.005990710575,0.03328609815799,390.5534246575,20.0,0.650383920157,0.6,0,0,1,0
2023,0.6519425421502,3.967769898707,0.01071646157652,373.2575342466,20.0,0.4508418045687,0.6,0,0,1,0
2024,0.7095227718457,4.522696634289,0.008228071499616,364.6054794521,20.0,0.6296980486747,0.6,0,0,1,0
2022,0.6568232535386,2.941441072617,0.01664118038025,2223.4,100.0,0.650383920157,0.6,0,0,1,0
2023,0.6682034132164,3.897218239726,0.01339403679594,2239.802739726,100.0,0.4508418045687,0.6,0,0,1,0
2024,0.7114652653292,4.44205969898,0.005377796245739,2231.397260274,100.0,0.6296980486747,0.6,0,0,1,0
2022,0.4423389909323,3.52185529843,1.060799788684,23.56712328767,0.25,0.650383920157,0.6,0,0,0,0
2023,0.1737144790257,2.654770012945,0.1234776750207,16.19726027397,0.25,0.5082972300859,0.6,0,0,0,0
2024,0.1805385556916,3.741585038602,0.05584455281496,17.90684931507,0.25,0.6263000871496,0.6,0,0,0,0
2022,0.5844017955541,2.869728114456,0.2992366068065,203.8520547945,2.0,0.650383920157,0.6,0,0,0,0
2023,0.3209543101508,2.970099798404,0.0252774450928,158.2438356164,2.0,0.5082972300859,0.6,0,0,0,0
2024,0.423119129137,5.895882993937,0.09612852707505,124.8328767123,2.0,0.6263000871496,0.6,0,0,0,0
2022,0.6431243897676,3.141808219254,0.05416910722852,350.7534246575,5.0,0.650383920157,0.6,0,0,0,0
2023,0.3974377112316,4.214296895312,0.01147528085858,348.5753424658,5.0,0.5082972300859,0.6,0,0,0,0
2024,0.5277177301175,6.01964974869,0.02068608161062,338.3917808219,5.0,0.6263000871496,0.6,0,0,0,0
2022,0.6551352180359,3.17399412801,0.0279893662082,535.9178082192,10.0,0.650383920157,0.6,0,0,0,0
